customer_id,customer_name,document_number,birth_date,city,state,customer_segment,created_at
65,Customer 0065,08613171274,2005-08-26,Goiania,GO,private,2023-05-01
66,Customer 0066,73782639821,1984-10-13,Porto Alegre,RS,business,2022-11-28
67,Customer 0067,40449972787,1990-12-18,Goiania,GO,private,2024-02-05
68,Customer 0068,67533963605,2002-06-07,Goiania,GO,business,2023-03-02
69,Customer 0069,70289517187,1961-05-17,Belo Horizonte,MG,premium,2023-04-20
70,Customer 0070,17459615865,2003-10-11,Belo Horizonte,MG,retail,2024-06-18
71,Customer 0071,34316117240,1964-02-16,Rio de Janeiro,RJ,private,2025-06-19
72,Customer 0072,45562386922,1975-09-15,Sao Paulo,SP,retail,2024-06-02
73,Customer 0073,93792374740,2001-09-27,Recife,PE,private,2024-10-19
74,Customer 0074,21759464743,1994-07-06,Goiania,GO,business,2021-08-07
75,Customer 0075,69594406409,1964-05-26,Curitiba,PR,business,2025-09-02
76,Customer 0076,39533942104,1999-07-19,Florianopolis,SC,retail,2024-04-01
77,Customer 0077,21456232858,2005-01-06,Salvador,BA,private,2025-08-28
78,Customer 0078,47451712368,1992-10-24,Belo Horizonte,MG,retail,2025-06-08
79,Customer 0079,04817549651,1980-12-22,Recife,PE,business,2021-02-21
80,Customer 0080,85931746120,1963-05-04,Brasilia,DF,private,2023-10-06
81,Customer 0081,13826758692,1997-03-21,Rio de Janeiro,RJ,retail,2025-09-04
82,Customer 0082,96405377351,1992-12-14,Porto Alegre,RS,private,2021-05-05
83,Customer 0083,43171390053,1971-04-19,Recife,PE,premium,2021-05-21
84,Customer 0084,39335290422,1982-06-27,Goiania,GO,premium,2021-08-14
85,Customer 0085,20539502402,1997-10-07,Sao Paulo,SP,retail,2025-03-08
86,Customer 0086,77589178390,1987-01-22,Rio de Janeiro,RJ,business,2024-08-10
87,Customer 0087,07661771159,1973-04-22,Sao Paulo,SP,retail,2021-09-16
88,Customer 0088,99856984789,1998-08-05,Florianopolis,SC,retail,2025-06-13
89,Customer 0089,83673657661,1988-01-15,Rio de Janeiro,RJ,business,2022-10-03
90,Customer 0090,52711116152,1965-05-19,Florianopolis,SC,private,2024-10-04
91,Customer 0091,65604945198,1979-02-01,Rio de Janeiro,RJ,premium,2024-09-06
92,Customer 0092,31585149368,1962-05-10,Porto Alegre,RS,private,2021-03-01
93,Customer 0093,44550229612,1962-10-01,Belo Horizonte,MG,retail,2025-03-09
94,Customer 0094,36675254599,1967-08-15,Goiania,GO,retail,2021-11-15
95,Customer 0095,90147679764,1979-05-04,Belo Horizonte,MG,retail,2022-12-08
96,Customer 0096,14978403690,1960-09-08,Recife,PE,premium,2022-09-10
97,Customer 0097,24451076226,1980-08-23,Curitiba,PR,private,2021-05-28
98,Customer 0098,06071596966,1985-12-21,Recife,PE,retail,2023-04-10
99,Customer 0099,52975161369,1995-12-04,Sao Paulo,SP,retail,2023-03-22
100,Customer 0100,53521818835,1991-07-01,Florianopolis,SC,premium,2022-04-29
101,Customer 0101,24329212779,2000-04-09,Rio de Janeiro,RJ,private,2025-11-05
102,Customer 0102,27177449058,1966-08-28,Salvador,BA,private,2023-08-04
103,Customer 0103,00541199867,1963-09-06,Porto Alegre,RS,business,2025-07-17
104,Customer 0104,35978207151,2005-04-07,Brasilia,DF,premium,2021-03-22
105,Customer 0105,77889255466,1990-05-10,Curitiba,PR,retail,2025-06-05
106,Customer 0106,15186449251,1972-09-08,Salvador,BA,private,2022-09-28
107,Customer 0107,29148652816,2005-08-14,Recife,PE,private,2021-02-07
108,Customer 0108,42357332214,1969-01-27,Salvador,BA,retail,2024-09-17
109,Customer 0109,92962229270,1996-11-10,Salvador,BA,private,2024-10-17
110,Customer 0110,79473834735,1999-07-12,Curitiba,PR,business,2025-04-25
111,Customer 0111,68862392407,1993-04-20,Florianopolis,SC,retail,2024-12-27
112,Customer 0112,14124782613,2000-06-21,Goiania,GO,private,2021-02-24
113,Customer 0113,06853615305,1968-11-20,Recife,PE,private,2025-06-09
114,Customer 0114,20472779010,1982-12-17,Belo Horizonte,MG,premium,2025-09-07
115,Customer 0115,89861434103,1997-08-30,Belo Horizonte,MG,business,2021-05-09
116,Customer 0116,79808932460,1991-08-27,Rio de Janeiro,RJ,premium,2024-03-14
117,Customer 0117,21851888880,1995-01-11,Recife,PE,business,2021-03-31
118,Customer 0118,54051531952,1963-12-23,Recife,PE,private,2024-01-24
119,Customer 0119,27722170430,1977-11-23,Salvador,BA,retail,2022-10-09
120,Customer 0120,86874034505,1984-07-05,Florianopolis,SC,retail,2025-06-26
121,Customer 0121,66765277584,1967-05-31,Salvador,BA,business,2021-06-11
122,Customer 0122,92845115447,1998-03-24,Recife,PE,premium,2024-11-13
123,Customer 0123,57059640165,1974-05-09,Porto Alegre,RS,retail,2021-10-20
124,Customer 0124,70213556909,1973-10-06,Brasilia,DF,business,2023-01-30
125,Customer 0125,71928565431,1962-04-29,Salvador,BA,premium,2023-10-20
126,Customer 0126,68144739473,1971-01-01,Goiania,GO,premium,2025-10-13
127,Customer 0127,72715518844,1974-02-17,Rio de Janeiro,RJ,premium,2025-06-14
128,Customer 0128,83132370589,1993-02-04,Salvador,BA,business,2025-07-04
129,Customer 0129,29114678669,1966-08-13,Goiania,GO,premium,2022-10-12
130,Customer 0130,77852892268,1964-12-20,Rio de Janeiro,RJ,retail,2023-11-28
131,Customer 0131,42253584143,1984-08-15,Belo Horizonte,MG,premium,2024-07-04
132,Customer 0132,98182992299,1990-04-16,Florianopolis,SC,retail,2025-08-18
133,Customer 0133,10943969078,1985-12-26,Sao Paulo,SP,private,2023-09-17
134,Customer 0134,64710276773,1990-07-09,Curitiba,PR,premium,2022-10-03
135,Customer 0135,56258815371,1983-12-30,Salvador,BA,business,2022-05-23
136,Customer 0136,10469632595,1977-01-11,Belo Horizonte,MG,premium,2023-10-18
137,Customer 0137,77470168733,1991-08-29,Goiania,GO,retail,2021-04-14
138,Customer 0138,79748016245,1996-03-05,Florianopolis,SC,private,2021-04-03
139,Customer 0139,09835841687,1985-02-03,Recife,PE,retail,2021-09-21
140,Customer 0140,65585239868,1963-08-12,Rio de Janeiro,RJ,retail,2021-03-21
141,Customer 0141,57872982595,1974-07-30,Belo Horizonte,MG,business,2024-06-16
142,Customer 0142,95888794705,1989-09-19,Florianopolis,SC,retail,2023-05-04
143,Customer 0143,40974993097,1975-04-19,Brasilia,DF,business,2021-10-30
144,Customer 0144,09130756263,1996-10-25,Curitiba,PR,business,2025-11-23
145,Customer 0145,28385786527,1990-09-17,Sao Paulo,SP,private,2024-10-16
146,Customer 0146,97334843443,2003-11-14,Florianopolis,SC,private,2023-09-10
147,Customer 0147,84419866524,1963-10-10,Salvador,BA,private,2025-01-02
148,Customer 0148,57473384842,1969-10-19,Rio de Janeiro,RJ,premium,2022-05-12
149,Customer 0149,83301657120,1974-03-03,Sao Paulo,SP,business,2024-08-30
150,Customer 0150,73454019380,1975-09-15,Porto Alegre,RS,business,2025-12-12
151,Customer 0151,06724004991,1990-01-21,Belo Horizonte,MG,private,2023-07-20
152,Customer 0152,87287431527,1983-01-30,Goiania,GO,premium,2021-01-29
153,Customer 0153,49329668516,1968-07-22,Salvador,BA,premium,2021-10-15
154,Customer 0154,53046374549,1961-01-09,Porto Alegre,RS,private,2024-08-31
155,Customer 0155,30174268414,1992-12-21,Salvador,BA,premium,2022-03-25
156,Customer 0156,72795687833,1967-05-06,Belo Horizonte,MG,business,2023-12-18
157,Customer 0157,19108839822,1989-06-08,Salvador,BA,business,2021-08-27
158,Customer 0158,97187072867,1965-03-06,Curitiba,PR,business,2024-10-09
159,Customer 0159,06403910651,1965-05-28,Florianopolis,SC,retail,2023-08-25
160,Customer 0160,46226567661,1971-12-06,Sao Paulo,SP,private,2021-08-31
161,Customer 0161,86823004786,1994-01-10,Belo Horizonte,MG,premium,2022-05-22
162,Customer 0162,52431069033,1966-01-13,Porto Alegre,RS,retail,2024-05-01
163,Customer 0163,79030673830,1972-07-27,Sao Paulo,SP,private,2022-04-25
164,Customer 0164,59953428364,1984-09-07,Brasilia,DF,retail,2024-02-15
165,Customer 0165,26870568566,1973-05-21,Brasilia,DF,private,2023-02-10
166,Customer 0166,87334270866,1972-01-11,Belo Horizonte,MG,business,2022-05-13
167,Customer 0167,35175183046,1963-07-19,Florianopolis,SC,retail,2022-01-21
168,Customer 0168,83735403317,1981-10-06,Brasilia,DF,premium,2023-03-24
169,Customer 0169,85467854458,2004-08-11,Curitiba,PR,business,2021-07-21
170,Customer 0170,53556093204,1997-06-18,Porto Alegre,RS,private,2021-11-09
171,Customer 0171,53693785477,2001-05-05,Curitiba,PR,premium,2025-02-09
172,Customer 0172,22872808010,1960-07-28,Salvador,BA,business,2021-10-09
173,Customer 0173,12038750997,2003-10-08,Curitiba,PR,retail,2021-01-14
174,Customer 0174,86008484086,1976-01-31,Goiania,GO,retail,2021-07-17
175,Customer 0175,23398454615,1996-06-04,Goiania,GO,business,2024-03-03
176,Customer 0176,34101666870,1960-11-05,Curitiba,PR,premium,2021-06-19
177,Customer 0177,65918033974,1964-03-05,Porto Alegre,RS,retail,2024-11-02
178,Customer 0178,89025039261,1986-11-06,Florianopolis,SC,premium,2024-02-29
179,Customer 0179,96856218501,1999-03-19,Curitiba,PR,premium,2025-09-14
180,Customer 0180,59996504773,1991-12-03,Rio de Janeiro,RJ,business,2023-06-04
181,Customer 0181,96194311426,1973-11-03,Belo Horizonte,MG,business,2022-10-11
182,Customer 0182,11047541212,1998-08-31,Salvador,BA,business,2024-02-15
183,Customer 0183,86101581995,1994-07-24,Goiania,GO,retail,2022-08-21
184,Customer 0184,61839826224,1987-01-06,Recife,PE,private,2023-10-07
185,Customer 0185,12646471543,2004-06-24,Belo Horizonte,MG,premium,2023-07-27
186,Customer 0186,24065965756,1972-03-18,Rio de Janeiro,RJ,private,2022-10-19
187,Customer 0187,37526547935,1993-09-26,Brasilia,DF,private,2025-07-31
188,Customer 0188,51939828073,1999-05-03,Recife,PE,private,2025-08-30
189,Customer 0189,67243426617,2002-12-29,Rio de Janeiro,RJ,business,2023-12-31
190,Customer 0190,68058911352,1963-12-22,Goiania,GO,business,2025-03-22
191,Customer 0191,61014388899,1979-10-30,Salvador,BA,business,2023-02-06
192,Customer 0192,79825071461,1970-05-31,Recife,PE,premium,2022-12-15
193,Customer 0193,57387571775,1966-01-10,Florianopolis,SC,private,2021-04-02
194,Customer 0194,05123828258,1998-04-02,Rio de Janeiro,RJ,business,2022-04-20
195,Customer 0195,22660937966,1960-05-25,Recife,PE,premium,2022-02-26
196,Customer 0196,19182553714,2003-11-30,Florianopolis,SC,private,2024-05-07
197,Customer 0197,96915579249,1967-08-09,Recife,PE,premium,2022-10-04
198,Customer 0198,34125286692,1994-06-04,Rio de Janeiro,RJ,business,2022-01-16
199,Customer 0199,82827422579,1964-10-22,Porto Alegre,RS,private,2021-01-20
200,Customer 0200,23688767677,1975-01-02,Porto Alegre,RS,retail,2024-03-03
201,Customer 0201,34043842797,2005-10-29,Sao Paulo,SP,retail,2024-03-18
202,Customer 0202,48580783613,1986-09-16,Rio de Janeiro,RJ,retail,2023-07-11
203,Customer 0203,51713395962,1972-06-28,Florianopolis,SC,premium,2025-07-25
204,Customer 0204,09584982544,1983-12-26,Curitiba,PR,retail,2021-10-05
205,Customer 0205,04223253672,1984-02-09,Recife,PE,business,2023-02-08
206,Customer 0206,11684577590,1968-05-10,Porto Alegre,RS,business,2024-07-24
207,Customer 0207,18636374545,1971-09-19,Salvador,BA,business,2025-06-03
208,Customer 0208,00170127706,1978-02-24,Salvador,BA,premium,2025-12-12
209,Customer 0209,24154152064,1981-01-02,Florianopolis,SC,business,2024-09-04
210,Customer 0210,10371293870,1960-09-21,Rio de Janeiro,RJ,private,2025-08-01
211,Customer 0211,62713611155,1986-11-05,Rio de Janeiro,RJ,premium,2023-02-23
212,Customer 0212,21890927532,1996-12-07,Belo Horizonte,MG,business,2025-10-28
213,Customer 0213,11219656523,1984-11-05,Curitiba,PR,retail,2022-05-24
214,Customer 0214,99940438983,1995-02-22,Goiania,GO,private,2024-08-16
215,Customer 0215,37613791805,1988-05-23,Sao Paulo,SP,premium,2023-03-04
216,Customer 0216,65827109104,1979-05-10,Brasilia,DF,retail,2021-05-04
217,Customer 0217,84866618892,1984-11-22,Recife,PE,retail,2022-09-27
218,Customer 0218,83285691463,1965-03-12,Rio de Janeiro,RJ,premium,2021-06-26
219,Customer 0219,17990421020,1974-09-12,Recife,PE,business,2022-12-12
220,Customer 0220,84252410564,1965-09-23,Goiania,GO,private,2024-12-29
221,Customer 0221,17785079252,1982-11-20,Brasilia,DF,retail,2024-03-21
222,Customer 0222,38000307562,1976-01-21,Rio de Janeiro,RJ,retail,2024-02-07
223,Customer 0223,35365419518,1964-09-21,Recife,PE,premium,2022-04-03
224,Customer 0224,06174451870,1993-02-04,Goiania,GO,premium,2022-08-21
225,Customer 0225,49375973832,1960-07-27,Brasilia,DF,business,2021-02-18
226,Customer 0226,85050641383,1997-08-30,Curitiba,PR,business,2021-05-03
227,Customer 0227,41038657191,2005-05-05,Belo Horizonte,MG,premium,2024-07-29
228,Customer 0228,19906234456,1989-04-08,Recife,PE,private,2023-07-17
229,Customer 0229,31329121277,1988-03-04,Florianopolis,SC,business,2021-09-05
230,Customer 0230,53747411249,1963-08-14,Goiania,GO,premium,2025-09-08
231,Customer 0231,21356804420,1996-04-12,Salvador,BA,business,2024-02-13
232,Customer 0232,31712100323,1995-12-09,Goiania,GO,private,2024-11-06
233,Customer 0233,99410137215,1970-12-28,Rio de Janeiro,RJ,retail,2023-08-03
234,Customer 0234,29667066253,1976-10-15,Sao Paulo,SP,private,2022-07-28
235,Customer 0235,20999347687,1965-06-21,Porto Alegre,RS,retail,2022-07-27
236,Customer 0236,26383806578,2003-06-25,Recife,PE,private,2024-03-04
237,Customer 0237,56420593040,2002-04-26,Goiania,GO,private,2025-04-20
238,Customer 0238,32133480396,1991-10-31,Brasilia,DF,premium,2021-12-27
239,Customer 0239,95590599293,2004-02-28,Curitiba,PR,private,2021-12-26
240,Customer 0240,01039308705,1978-01-27,Porto Alegre,RS,premium,2022-11-29
241,Customer 0241,50029218515,1995-06-28,Belo Horizonte,MG,retail,2022-11-21
242,Customer 0242,52267528953,1975-09-24,Florianopolis,SC,business,2022-09-21
243,Customer 0243,22096902959,1979-10-26,Florianopolis,SC,retail,2023-10-14
244,Customer 0244,51355215704,1978-10-23,Belo Horizonte,MG,premium,2024-11-20
245,Customer 0245,54100676267,1993-12-22,Rio de Janeiro,RJ,private,2024-01-24
246,Customer 0246,17932710405,1983-06-05,Recife,PE,retail,2021-06-01
247,Customer 0247,26218159970,1998-09-11,Salvador,BA,premium,2024-05-28
248,Customer 0248,20153368844,1986-09-06,Recife,PE,premium,2021-07-16
249,Customer 0249,69872050614,2003-02-03,Sao Paulo,SP,premium,2021-07-18
250,Customer 0250,32417146774,1968-03-05,Sao Paulo,SP,business,2022-01-14
251,Customer 0251,65270477434,1965-07-12,Salvador,BA,premium,2025-03-21
252,Customer 0252,15869380686,2002-08-07,Rio de Janeiro,RJ,premium,2023-09-03
253,Customer 0253,16089899217,1975-07-05,Florianopolis,SC,premium,2022-03-10
254,Customer 0254,20616329451,1967-10-22,Curitiba,PR,business,2024-02-14
255,Customer 0255,85487099861,1997-03-07,Recife,PE,premium,2021-10-31
256,Customer 0256,99119148564,1994-05-13,Brasilia,DF,business,2024-03-17
257,Customer 0257,70246299606,1989-09-27,Brasilia,DF,premium,2021-04-11
258,Customer 0258,45054447132,1986-12-16,Porto Alegre,RS,business,2025-05-05
259,Customer 0259,46913736785,1965-01-15,Salvador,BA,premium,2021-05-15
260,Customer 0260,86289023303,1962-12-19,Florianopolis,SC,business,2021-04-14
261,Customer 0261,34578610357,2000-01-08,Salvador,BA,premium,2025-11-18
262,Customer 0262,98552414060,1974-08-13,Porto Alegre,RS,premium,2025-10-22
263,Customer 0263,33468007229,1960-10-04,Curitiba,PR,premium,2022-06-01
264,Customer 0264,44665743748,1995-08-18,Brasilia,DF,retail,2021-01-16
265,Customer 0265,58994417154,1989-03-03,Goiania,GO,private,2022-06-19
266,Customer 0266,32830965207,1986-07-09,Florianopolis,SC,private,2023-05-08
267,Customer 0267,60993538758,1986-12-06,Recife,PE,premium,2025-09-18
268,Customer 0268,24172482513,1991-11-15,Goiania,GO,premium,2025-03-05
269,Customer 0269,65549471709,1966-05-22,Florianopolis,SC,business,2025-12-27
270,Customer 0270,81684602235,1996-09-16,Curitiba,PR,business,2021-10-21
271,Customer 0271,21752500743,1975-02-15,Salvador,BA,premium,2023-09-30
272,Customer 0272,29666676008,1977-11-21,Rio de Janeiro,RJ,private,2021-01-29
273,Customer 0273,83003354216,2005-02-26,Salvador,BA,private,2021-12-09
274,Customer 0274,04478985625,2003-12-23,Rio de Janeiro,RJ,private,2025-03-17
275,Customer 0275,26033230982,1971-01-18,Curitiba,PR,private,2024-12-27
276,Customer 0276,64890901001,1997-05-22,Sao Paulo,SP,business,2023-02-18
277,Customer 0277,84723046184,1972-04-21,Rio de Janeiro,RJ,business,2025-08-29
278,Customer 0278,89141173934,1978-02-03,Rio de Janeiro,RJ,private,2024-12-11
279,Customer 0279,42087375300,1967-12-26,Recife,PE,retail,2025-09-07
280,Customer 0280,72181143744,2001-08-26,Brasilia,DF,retail,2021-07-24
281,Customer 0281,04556110022,1989-06-26,Belo Horizonte,MG,private,2023-06-16
282,Customer 0282,41552166746,2002-11-27,Brasilia,DF,business,2024-08-21
283,Customer 0283,12021697972,1994-01-25,Belo Horizonte,MG,private,2024-06-06
284,Customer 0284,27716701450,1980-02-04,Sao Paulo,SP,private,2023-11-30
285,Customer 0285,91637562890,1961-01-16,Goiania,GO,premium,2023-11-02
286,Customer 0286,72175354083,1993-12-20,Porto Alegre,RS,business,2025-08-01
287,Customer 0287,17797177517,1961-08-05,Curitiba,PR,retail,2023-04-07
288,Customer 0288,08801994883,2000-12-05,Recife,PE,private,2023-01-15
289,Customer 0289,37589975711,1979-11-23,Sao Paulo,SP,retail,2022-12-01
290,Customer 0290,48851027261,1982-10-24,Salvador,BA,premium,2022-01-20
291,Customer 0291,63735160917,2001-01-12,Rio de Janeiro,RJ,premium,2023-10-19
292,Customer 0292,80869782922,1969-04-16,Sao Paulo,SP,business,2024-09-08
293,Customer 0293,95866934654,2000-08-16,Brasilia,DF,premium,2021-10-10
294,Customer 0294,98485833394,1990-12-23,Recife,PE,premium,2024-12-25
295,Customer 0295,88515879968,1985-08-26,Belo Horizonte,MG,business,2025-07-14
296,Customer 0296,81062003424,1982-06-24,Sao Paulo,SP,premium,2025-09-16
297,Customer 0297,43805719838,1994-11-21,Sao Paulo,SP,premium,2023-11-13
298,Customer 0298,06665800439,1999-10-01,Florianopolis,SC,premium,2024-07-21
299,Customer 0299,98933472122,1970-09-15,Salvador,BA,business,2021-03-25
300,Customer 0300,48422940572,1963-08-01,Recife,PE,premium,2022-10-23
