account_id,customer_id,agency_number,account_number,account_type,account_status,opened_at
86,66,4764,568288,salary,active,2021-07-25
87,67,9328,520018,savings,closed,2024-06-11
88,68,3633,508004,salary,active,2025-07-06
89,69,3381,594580,salary,blocked,2021-06-30
90,70,5310,332542,savings,active,2024-06-01
91,71,7296,520106,salary,closed,2022-08-10
92,72,3871,771394,savings,blocked,2021-01-22
93,73,9489,399899,checking,active,2025-05-25
94,74,3776,806765,checking,active,2022-05-05
95,75,3579,191061,savings,blocked,2022-12-25
96,76,7642,714549,checking,closed,2021-02-01
97,76,2124,194545,salary,active,2025-01-27
98,77,6693,955129,savings,active,2024-05-26
99,78,8450,523579,salary,active,2022-06-19
100,79,7670,630829,checking,closed,2021-05-29
101,80,6570,222692,salary,active,2025-11-30
102,81,8254,495397,salary,blocked,2025-04-26
103,82,6565,913274,savings,blocked,2026-01-11
104,83,8896,221916,savings,active,2023-02-23
105,84,4767,939030,savings,blocked,2022-12-25
106,85,5314,360316,savings,active,2023-03-29
107,86,2245,681489,checking,blocked,2022-10-05
108,87,4580,701581,savings,active,2025-03-09
109,88,9175,872918,checking,active,2025-02-15
110,89,5348,316823,checking,active,2025-09-06
111,90,6833,263573,checking,active,2021-06-10
112,91,1108,901368,salary,active,2025-10-03
113,91,8901,489227,salary,active,2023-10-06
114,92,9041,291755,salary,active,2023-03-26
115,93,3101,156778,salary,blocked,2023-09-07
116,94,9232,464158,savings,active,2023-07-26
117,95,9490,582418,savings,active,2021-01-25
118,96,7216,709231,checking,active,2023-01-11
119,97,4066,675210,savings,active,2022-07-06
120,98,6621,483699,checking,blocked,2023-05-19
121,98,4449,539450,salary,active,2023-01-18
122,99,5581,572623,checking,closed,2021-09-26
123,99,4744,953740,checking,active,2025-07-05
124,100,8081,997904,savings,active,2021-10-26
125,101,8749,944804,checking,active,2023-05-14
126,102,3203,990649,salary,closed,2023-12-30
127,102,6172,923481,savings,active,2022-05-29
128,103,7527,203782,salary,active,2021-05-03
129,104,5166,599687,salary,active,2023-07-11
130,105,5256,478496,savings,closed,2024-02-16
131,106,6638,120798,savings,active,2022-12-21
132,107,9821,283017,savings,active,2022-10-28
133,108,8322,182216,savings,closed,2022-08-10
134,108,8598,762398,checking,active,2024-08-04
135,109,7911,761938,salary,closed,2023-04-09
136,110,2296,269868,savings,active,2022-10-05
137,111,5773,844943,savings,closed,2024-08-13
138,112,5444,566509,savings,closed,2023-12-03
139,112,8377,534098,checking,active,2025-10-16
140,113,3048,863124,checking,active,2025-03-04
141,114,4450,275018,savings,active,2021-07-15
142,115,8752,675074,checking,active,2025-04-28
143,116,9584,902156,checking,active,2022-06-22
144,116,3544,188406,salary,blocked,2022-09-26
145,117,5053,873422,savings,blocked,2024-07-07
146,118,3150,652329,checking,active,2021-03-13
147,119,6328,599284,savings,closed,2022-07-12
148,120,3213,831510,salary,active,2024-04-25
149,120,8480,761701,salary,closed,2023-06-10
150,121,6688,605048,salary,active,2025-07-07
151,122,8239,422823,savings,blocked,2022-06-17
152,123,5973,111068,checking,closed,2025-07-28
153,124,6634,400692,savings,closed,2021-01-18
154,125,8816,414164,checking,blocked,2025-06-23
155,125,5799,726003,checking,active,2024-01-28
156,126,4089,531736,salary,blocked,2023-03-20
157,127,3675,849666,salary,blocked,2025-08-24
158,128,4614,375754,checking,blocked,2024-07-04
159,128,4924,641704,salary,active,2022-08-07
160,129,7765,297132,checking,active,2021-10-07
161,130,2808,767830,savings,closed,2023-07-17
162,131,9060,296911,savings,active,2021-11-08
163,132,9764,123205,checking,active,2022-08-01
164,133,3048,849937,savings,active,2022-04-22
165,134,3468,115440,savings,active,2022-12-02
166,135,6104,923892,savings,active,2023-08-08
167,135,1519,446290,checking,active,2021-04-25
168,136,7429,174852,salary,blocked,2022-01-07
169,137,5097,956949,savings,active,2021-09-07
170,138,7304,908688,savings,active,2025-02-19
171,139,4263,583220,salary,active,2023-12-04
172,140,8746,508024,salary,active,2022-10-24
173,141,1691,880900,salary,closed,2021-09-08
174,142,8884,769536,savings,active,2023-01-09
175,143,4568,218414,checking,blocked,2022-10-27
176,144,3742,932978,savings,closed,2021-09-03
177,145,4982,109363,checking,closed,2025-05-24
178,145,8786,821846,salary,active,2023-01-31
179,146,5075,265358,savings,active,2024-11-05
180,147,1983,162678,savings,active,2024-12-07
181,148,3061,611540,checking,active,2024-02-18
182,149,8187,868804,checking,active,2024-11-12
183,150,6868,859587,checking,active,2026-01-15
184,150,1646,608876,salary,blocked,2024-02-19
185,151,9892,830897,savings,active,2024-03-06
186,152,9906,464552,savings,blocked,2022-07-18
187,153,2128,656937,checking,blocked,2022-08-29
188,154,9873,484945,savings,active,2025-05-09
189,155,4039,119629,salary,active,2025-05-09
190,155,4912,436272,salary,active,2024-09-10
191,156,4110,649526,salary,blocked,2025-04-18
192,156,3525,742818,savings,active,2023-04-20
193,157,2809,200932,salary,active,2021-03-31
194,158,3926,132792,checking,active,2023-09-22
195,159,2617,133362,salary,blocked,2024-09-09
196,160,9615,754280,salary,closed,2022-06-09
197,160,1804,484150,checking,closed,2025-01-10
198,161,1214,318877,salary,blocked,2025-12-28
199,162,8668,939930,salary,active,2023-01-10
200,163,7046,932831,salary,active,2025-08-14
201,163,5355,654718,checking,active,2025-09-05
202,164,2276,326387,salary,active,2021-07-27
203,165,9710,504048,checking,active,2023-12-14
204,166,3931,685549,salary,closed,2023-05-01
205,167,6864,807256,savings,blocked,2025-12-14
206,168,3733,930956,checking,closed,2023-04-03
207,169,3591,659835,salary,blocked,2022-12-23
208,170,6319,985893,savings,blocked,2025-04-15
209,171,6299,737967,checking,closed,2024-01-23
210,171,4504,493282,salary,active,2023-01-08
211,172,8331,516379,checking,active,2022-08-06
212,172,1267,642752,checking,active,2021-01-14
213,173,4635,325258,savings,active,2025-04-30
214,174,9376,683347,salary,closed,2021-11-13
215,175,1618,582732,savings,active,2021-10-11
216,176,7014,710434,checking,active,2022-06-09
217,177,2505,698199,savings,closed,2022-03-22
218,178,6319,931420,savings,active,2023-09-27
219,179,5921,139186,salary,closed,2023-02-21
220,180,1916,908348,savings,active,2025-12-07
221,181,7824,226395,checking,closed,2021-01-24
222,181,7266,156757,savings,closed,2021-03-26
223,182,9846,692354,checking,active,2023-10-26
224,183,3509,152973,salary,blocked,2023-07-02
225,184,4638,552917,savings,blocked,2021-10-31
226,185,6507,186554,savings,closed,2025-03-07
227,186,9980,518582,savings,active,2023-03-28
228,187,3136,899049,checking,blocked,2024-02-20
229,187,4245,611559,savings,closed,2022-02-06
230,188,4970,175124,savings,blocked,2022-10-25
231,189,2843,804378,savings,blocked,2023-01-19
232,190,4120,436318,savings,closed,2024-09-04
233,191,5994,277477,savings,closed,2025-08-10
234,192,3389,561859,checking,active,2022-02-13
235,192,7124,263568,salary,active,2021-08-19
236,193,4982,751168,checking,active,2021-01-29
237,194,2823,419939,savings,blocked,2021-02-16
238,195,4424,875959,salary,active,2022-02-22
239,196,9991,606489,salary,active,2024-11-24
240,197,7170,711324,salary,closed,2021-03-31
241,198,3790,163029,savings,active,2025-06-05
242,199,1869,587546,salary,active,2021-05-17
243,200,5445,795186,salary,active,2025-11-06
244,200,2767,120005,savings,blocked,2022-04-19
245,201,9331,844162,checking,active,2023-09-20
246,201,9709,192296,checking,active,2023-10-23
247,202,1352,141683,checking,closed,2022-09-17
248,202,6465,613731,savings,active,2021-02-07
249,203,6765,472640,salary,active,2022-04-29
250,204,2015,756190,savings,blocked,2025-12-29
251,205,5590,336540,checking,active,2026-01-12
252,206,3248,192059,salary,blocked,2023-12-03
253,206,4726,537605,checking,closed,2021-11-09
254,207,6118,734775,savings,blocked,2024-01-16
255,207,3158,316800,salary,active,2024-04-04
256,208,3262,424008,salary,closed,2021-10-04
257,209,3378,788108,salary,active,2022-10-13
258,209,2111,684413,salary,active,2022-01-13
259,210,3384,862398,checking,active,2025-12-08
260,211,7737,418083,savings,active,2021-11-08
261,211,4079,211957,checking,active,2021-02-23
262,212,4783,725329,checking,active,2024-11-08
263,213,6886,183336,salary,blocked,2021-10-02
264,214,7126,292913,savings,blocked,2023-08-29
265,214,3253,271742,checking,active,2021-03-08
266,215,1245,382967,savings,active,2025-03-01
267,215,4323,894586,checking,active,2021-12-29
268,216,9027,821276,savings,blocked,2025-12-23
269,216,5043,548324,savings,active,2024-05-30
270,217,6126,513296,salary,closed,2024-05-01
271,217,9784,650744,salary,active,2023-12-03
272,218,8399,579094,checking,active,2023-11-29
273,219,1643,684791,savings,closed,2025-04-17
274,219,1807,299072,savings,blocked,2023-03-27
275,220,5684,583757,checking,blocked,2022-08-26
276,221,9470,249149,savings,blocked,2021-07-05
277,222,3945,916558,salary,closed,2021-10-05
278,223,7775,439173,savings,active,2022-01-02
279,223,8433,718990,salary,active,2025-12-13
280,224,2477,362230,savings,active,2025-01-11
281,224,3024,195620,checking,blocked,2024-07-22
282,225,2397,649262,salary,blocked,2025-01-28
283,226,7204,677079,savings,active,2025-04-23
284,227,6491,692960,salary,active,2021-11-29
285,228,3930,906519,salary,active,2023-05-10
286,229,6071,865630,savings,active,2024-07-06
287,230,2926,237962,checking,active,2024-06-29
288,231,1200,580921,savings,blocked,2024-01-19
289,232,9084,349433,checking,closed,2024-09-12
290,233,8434,530074,savings,active,2024-05-16
291,233,1107,356600,salary,active,2024-06-23
292,234,1801,293818,checking,active,2024-08-30
293,235,1601,252436,checking,closed,2025-09-13
294,236,6424,191962,checking,active,2023-05-04
295,237,3643,804737,savings,closed,2024-09-15
296,238,8460,885734,salary,active,2021-03-15
297,239,5903,438503,savings,blocked,2025-08-07
298,240,8001,984274,salary,active,2022-08-23
299,241,3204,227950,salary,active,2022-11-06
300,241,9635,533856,salary,active,2024-11-26
301,242,1953,214611,salary,closed,2021-06-29
302,243,5705,547798,salary,active,2022-06-16
303,243,9608,703080,salary,active,2021-09-23
304,244,9514,864605,salary,blocked,2023-10-06
305,244,3947,739008,checking,active,2022-02-01
306,245,2936,125151,savings,active,2025-02-19
307,246,7793,534153,checking,active,2022-12-18
308,247,1185,771736,checking,active,2022-06-06
309,248,6042,414870,salary,closed,2022-10-26
310,249,2865,819150,savings,active,2023-03-23
311,250,3877,303440,savings,active,2024-10-09
312,251,8774,935981,checking,active,2023-09-14
313,251,3545,757667,savings,closed,2026-01-09
314,252,8577,922072,savings,active,2025-09-07
315,253,6169,682145,salary,active,2022-03-03
316,254,6793,169429,checking,active,2025-09-18
317,255,6556,493468,salary,closed,2025-09-22
318,256,7382,296481,salary,active,2025-11-06
319,257,6152,844321,checking,active,2023-04-28
320,258,9143,349185,savings,blocked,2025-08-26
321,259,4541,650607,savings,active,2021-08-18
322,260,1612,915572,checking,active,2023-06-28
323,261,8907,624344,checking,active,2022-11-28
324,262,9579,425434,savings,active,2025-04-25
325,262,2609,962074,salary,active,2022-02-25
326,263,8526,506415,salary,closed,2021-08-26
327,264,6095,146168,salary,closed,2025-11-21
328,265,6460,589554,checking,active,2023-12-03
329,266,1368,705615,savings,active,2022-10-20
330,267,4154,400487,savings,closed,2022-10-16
331,268,2927,385898,checking,active,2022-07-15
332,268,2875,115997,salary,closed,2023-11-19
333,269,4384,668882,savings,closed,2022-10-15
334,270,3319,838568,savings,closed,2022-05-17
335,271,2167,426503,salary,active,2024-01-13
336,272,1831,236392,checking,blocked,2026-01-24
337,272,1826,211072,savings,active,2021-06-26
338,273,7421,287677,salary,closed,2025-12-31
339,273,8304,746253,savings,active,2022-11-12
340,274,9740,182361,savings,closed,2021-09-27
341,275,8672,201987,savings,active,2024-11-02
342,276,8709,342948,checking,active,2025-10-30
343,276,5227,481104,savings,active,2024-12-03
344,277,6320,575301,savings,active,2021-05-14
345,278,2849,468512,savings,blocked,2025-09-29
346,278,3798,395968,savings,closed,2024-03-22
347,279,9322,207932,savings,active,2022-10-30
348,280,5949,658624,savings,blocked,2024-04-24
349,281,4908,751034,checking,closed,2021-11-22
350,281,8903,502460,checking,active,2022-03-03
351,282,8132,694764,savings,closed,2024-11-22
352,282,4869,281493,salary,active,2025-02-23
353,283,2873,720928,salary,blocked,2022-10-29
354,283,2599,961953,savings,active,2022-09-23
355,284,2140,727320,checking,closed,2025-04-29
356,284,7208,443312,savings,active,2021-07-05
357,285,3276,708979,salary,active,2025-03-31
358,286,3444,574978,salary,active,2023-03-10
359,287,4205,315651,salary,active,2022-09-06
360,287,5989,555844,salary,active,2021-07-02
361,288,9362,523831,checking,active,2021-05-08
362,289,9992,155708,checking,closed,2025-08-08
363,290,2797,395917,checking,active,2023-06-04
364,291,6212,846348,savings,blocked,2023-02-21
365,291,8130,671598,checking,active,2023-08-31
366,292,4083,682401,savings,active,2025-09-17
367,293,3527,402483,salary,active,2021-10-03
368,293,1190,175231,salary,active,2021-10-22
369,294,8155,242371,checking,active,2024-08-08
370,294,7813,578180,salary,closed,2023-05-22
371,295,8444,634160,savings,closed,2025-08-07
372,296,7303,472566,checking,active,2023-05-20
373,296,1121,706012,savings,active,2024-12-29
374,297,7731,672696,salary,active,2021-03-10
375,298,8917,839122,savings,active,2024-04-03
376,299,2311,248989,salary,closed,2025-10-26
377,299,5578,587521,salary,active,2023-12-08
378,300,5017,595401,salary,active,2024-11-01
